UNIQUE INTERNAL CODE	PRODUCT NAME	PRODUCT DESCRIPTION	PRODUCT PRICE	PRODUCT URL	IMAGE URL	CATEGORY	SHIPPING COST	GENDER	COLOR	GOOGLE TAX	MANUFACTURER	Google Age Group	MPN(Manufacturer Part Number)
9055	Citrine Earrings	Citrine Earrings Stunning AAA faceted deep rich Citrine gemstone nugget earrings with AAA faceted Pyrite and a small oxidized Brass bead.  Sterling Silver and FANTASTIC.  Designed by Angela Daczko.  A touch over one inch.--------------------------------------------------------------------------------Wholesale InformationRetail Price: $35.00 Weight: 9g	67	http://www.semiprecious.com/detail.cfm?itemnumber=9055	http://www.semiprecious.com/images/Earrings/9055.jpg	Clothing & Accessories > Jewelry > Earrings	3.99	f	yellow	US:TX:8.25:y	Semiprecious.com	Adult	9055
9104	Carnelian Earrings  in Sterling Silver	Carnelian Earrings Carnelian smooth cut round bead set in two sweeping silver waves with an oval silver set at the bottom to hold the gemstone. The bead is 11x9 millimeters. 1.25 inch long (measured without earwire)   	28	http://www.semiprecious.com/detail.cfm?itemnumber=9104	http://www.semiprecious.com/images/Earrings/9104.jpg	Clothing & Accessories > Jewelry > Earrings	3.99	f	red	US:TX:8.25:y	Semiprecious.com	Adult	9104
9220	Prehnite Necklaces	Prehnite Necklaces The beautiful, fresh tone of these faceted prehnite and faceted peridots with silver beads and rings make this necklace precious and joyful. 17 to Comes with silver clasp. Largest bead size 12mm, smallest bead size 4mm   	41	http://www.semiprecious.com/detail.cfm?itemnumber=9220	http://www.semiprecious.com/images/Necklaces/9220.jpg	Clothing & Accessories > Jewelry > Necklaces	3.99	f	green	US:TX:8.25:y	Semiprecious.com	Adult	9220
9482	Citrine Flower Pendants  in Sterling Silver	Citrine pendants Faceted citrine flower shape pendant set in sterling silver. 1.5 inch long. Stone size 4mm   	38	http://www.semiprecious.com/detail.cfm?itemnumber=9482	http://www.semiprecious.com/images/pendants/9482.jpg	Clothing & Accessories > Jewelry > pendants	3.99	f	yellow	US:TX:8.25:y	Semiprecious.com	Adult	9482
10364	Lemon Quartz Rings  in Sterling Silver	Lemon Quartz rings A striking ring with a sparkling checkered cut lemon topaz set in a hand carved sterling silver band. Stone size 16mm x 14mm   	46	http://www.semiprecious.com/detail.cfm?itemnumber=10364	http://www.semiprecious.com/images/rings/10364.jpg	Clothing & Accessories > Jewelry > rings	3.99	f	green,yellow	US:TX:8.25:y	Semiprecious.com	Adult	10364
10383	Mystic Quartz Bracelets  in Sterling Silver	Mystic Quartz bracelets This gleaming bracelet features multi-colored, round, radiant-cut mystic quartz gems set in a sterling silver.  Closes with a toggle clasp.-Stone size is 10mm.-Bracelet has 10 stones.	180	http://www.semiprecious.com/detail.cfm?itemnumber=10383	http://www.semiprecious.com/images/bracelets/10383.jpg	Clothing & Accessories > Jewelry > bracelets	3.99	f	green,pink	US:TX:8.25:y	Semiprecious.com	Adult	10383
10466	Emerald Brides-Maids Rings  in Sterling Silver	Emerald rings In this beautiful ring, faceted Brazilian emerald is set in a delicate sterling silver setting. Stone size 8mm x 6mm.   	52	http://www.semiprecious.com/detail.cfm?itemnumber=10466	http://www.semiprecious.com/images/rings/10466.jpg	Clothing & Accessories > Jewelry > rings	3.99	f	green	US:TX:8.25:y	Semiprecious.com	Adult	10466
10598	Onyx Drop Pendants  in Sterling Silver	Onyx pendants This gorgeous pendant displays a drop shaped onyx gemstone with blue and white hues like clouds in the sky and a faceted, sparkling, drop smokey topaz gemstone hanging at the bottom set in sterling silver. 3 inch long (not including bail). Largest stone size - 32mm, smallest stone size 18mm.   	98	http://www.semiprecious.com/detail.cfm?itemnumber=10598	http://www.semiprecious.com/images/pendants/10598.jpg	Clothing & Accessories > Jewelry > pendants	3.99	f	blue,brown	US:TX:8.25:y	Semiprecious.com	Adult	10598
10649	Emerald Rings  in Sterling Silver	Emerald rings In this gorgeous ring a faceted Brazilian emerald gem stone is beautifully set in sterling silver setting. Stone size - 4mm x 6mm   	26	http://www.semiprecious.com/detail.cfm?itemnumber=10649	http://www.semiprecious.com/images/rings/10649.jpg	Clothing & Accessories > Jewelry > rings	3.99	f	green	US:TX:8.25:y	Semiprecious.com	Adult	10649
10963	Labradorite Multistrand Necklaces	Labradorite necklaces Gorgeous 3 layered labradorite necklace. Faceted and sparkling labradorite gemstones are strung together in this multi-layered necklace. 15 to 18 inches long with silver clasp and 3 inch long extension chain. Stone size - 8mm   	66	http://www.semiprecious.com/detail.cfm?itemnumber=10963	http://www.semiprecious.com/images/necklaces/10963.jpg	Clothing & Accessories > Jewelry > necklaces	3.99	f	blue,green	US:TX:8.25:y	Semiprecious.com	Adult	10963
