Item-name	Item-Description	category1	price	sku	image-url	Shipping-fee	quantity
"Moss agate necklace, 3 strand, 17"", beautiful ethnic design."	"Moss agate necklace, 3 strand, 17"", beautiful ethnic design.   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$16.00 	172	http://www.semiprecious.com/images/necklaces/172.jpg	$2.50 	10
"Moss agate necklace, 34"""	"Moss agate necklace, 34""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296358	$20.00 	42	http://www.semiprecious.com/images/necklaces/mossagat.jpg	$2.50 	3
Multi-stone and bone bracelet (elephant engraving)	"Multi-stone and bone bracelet, elephant engraved, 20 cm  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296305	$6.00 	53	http://www.semiprecious.com/images/bracelets/brstbnel.jpg	$1.00 	15
Multi-stone and bone bracelet (flower engraving)	"Multi-stone and bone bracelet, flower engraving, 20 cm  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296305	$6.00 	54	http://www.semiprecious.com/images/bracelets/brstbn01.jpg	$1.50 	20
"Multi-stone necklace, attractive ethnic design, 17"""	"Multi-stone necklace, attractive ethnic design, 17""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296340	$15.00 	166	http://www.semiprecious.com/images/necklaces/166.jpg	$2.50 	20
"Obsidian and pearl necklace, 3 strand, 17"""	"Obsidian and pearl necklace, 3 strand, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$25.00 	134	http://www.semiprecious.com/images/necklaces/134.jpg	$2.00 	4
"Pearl and amethyst necklace, 17"""	"Pearl and amethyst necklace, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$12.00 	138	http://www.semiprecious.com/images/necklaces/138.jpg	$1.50 	10
"Pearl and amethyst necklace, 17"""	"Pearl and amethyst necklace, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$10.00 	108	http://www.semiprecious.com/images/necklaces/prlameth.jpg	$1.50 	5
"Pearl and amethyst necklace, 24"""	"Pearl and amethyst necklace, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$18.00 	124	http://www.semiprecious.com/images/necklaces/124.jpg	$2.00 	3
"Pearl and amethyst necklace, 24"""	"Pearl and amethyst necklace, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$18.00 	154	http://www.semiprecious.com/images/necklaces/154.jpg	$2.50 	5
"Pearl and amethyst, 3 strand necklace, 24"" "	"Pearl and amethyst, 3 strand necklace, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$28.00 	132	http://www.semiprecious.com/images/necklaces/132.jpg	$2.50 	5
"Pearl and aventurine necklace, 24"""	"Pearl and aventurine necklace, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$18.00 	155	http://www.semiprecious.com/images/necklaces/155.jpg	$2.00 	5
